anio_hecho;mes_hecho;dia_hecho;hora_hecho;minuto_hecho;fecha_hecho;edad;feminicidio;grupo_feminicidio;modalidad;estado_civil;grupo_armado;grupo_caracterizacion;medio_transporte;nivel_academico;ocupacion;sexo;comuna_hecho;codigo_barrio_hecho;codigo_comuna_hecho;barrio_hecho
2016;2;20;16;10;20/2/2016;25;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Automóvil;Bachillerato;Prestamista;Masculino;Belén;1605;16;San Bernardo
2016;2;20;19;1;20/2/2016;20;No aplica;No aplica;Ahorcamiento o estrangulamiento;NA;NA;Grupos Delincuenciales Organizados;NA;NA;NA;Masculino;Castilla;0504;05;Tejelo
2016;2;20;19;40;20/2/2016;19;No aplica;No aplica;Arma de fuego;Soltero;NA;En procedimiento de la fuerza pública;Motocicleta;Bachillerato;Vendedor;Masculino;Belén;1612;16;La Gloria
2016;2;20;20;15;20/2/2016;39;No aplica;No aplica;Arma de fuego;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Automóvil;Bachillerato;Independiente;Masculino;Castilla;Inst_2;05;Oleoducto
2016;2;20;23;30;20/2/2016;28;No aplica;No aplica;Cortopunzante;NA;NA;Convivencia;Caminata;Bachillerato;NA;Masculino;San Javier;1314;13;Las Independencias
2016;2;24;20;30;24/2/2016;21;No aplica;No aplica;Ahorcamiento o estrangulamiento;Unión marital de hecho;NA;Grupos Delincuenciales Organizados;Caminata;NA;Mecánico automotriz;Masculino;Castilla;0507;05;Héctor Abad Gómez
2016;2;25;23;40;25/2/2016;24;No aplica;No aplica;Cortopunzante;Soltero;NA;Convivencia;Caminata;Bachillerato;Barbero;Masculino;Castilla;0513;05;Francisco Antonio Zea
2016;2;26;19;50;26/2/2016;25;No aplica;No aplica;Arma de fuego;NA;NA;Grupos Delincuenciales Organizados;Caminata;NA;Barbero;Masculino;Belén;1612;16;La Gloria
2016;2;27;6;56;27/2/2016;52;No aplica;No aplica;Arma de fuego;Divorciado;NA;Homicidios asociados a hurtos;Caminata;Alfabeta;Vigilante empresa de seguridad;Masculino;Belén;1601;16;Fátima
2016;2;27;20;40;27/2/2016;46;No aplica;No aplica;Arma de fuego;Casado;NA;Grupos Delincuenciales Organizados;Caminata;Técnica;Comerciante;Masculino;La América;1205;12;La Floresta
2016;2;28;3;45;28/2/2016;23;No aplica;No aplica;Cortopunzante;NA;NA;Convivencia;Caminata;NA;NA;Masculino;Buenos Aires;0906;09;Barrio Caycedo
